Request_ID,Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,0,74,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,2930.8755563881828,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,1,5,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,2930.8755563881828,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
2,2,0,1,[1. 1. 1.],0,1.0,2930.8755563881828,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,3,24,1,[1. 1. 1.],0,1.0,3168.664720915398,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,4,1,[1. 1. 1.],0,1.0,3013.989874614661,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,5,38,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,3168.664720915398,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
6,6,4,1,[1. 1. 1.],0,1.0,2930.8755563881828,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,7,16,1,[1. 1. 1.],0,1.0,3168.664720915398,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
8,7,20,1,[1. 1. 1.],0,1.0,3168.664720915398,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
9,7,24,1,[1. 1. 1.],0,1.0,3168.664720915398,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
10,0,56,1,[1. 1. 1.],0,1.0,3013.989874614661,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
11,1,78,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,3168.664720915398,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
12,2,8,1,[1. 1. 1.],0,1.0,2930.8755563881828,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
13,3,78,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,3043.5014356380557,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
14,4,6,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,2930.8755563881828,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
15,5,58,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,3168.664720915398,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
16,6,12,1,[1. 1. 1.],0,1.0,2930.8755563881828,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
