Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,8,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
7,12,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
0,0,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,0,1,[1. 1. 1.],0,1.0,0.9107267601644856,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,4,1,[1. 1. 1.],0,1.0,0.91,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,1,[1. 1. 1.],0,1.0,0.9401009777569684,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
